Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2ZTIk5AkBIoJLKQpCNpoMX,"Beautiful Oblivion","Beautiful Oblivion","Issues",2019-10-04,215750,0,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-09T02:00:32Z,"post-hardcore,metalcore,screamo","Rise Records",0.608,0.778,6,-5.45,0,0.0877,0.0314,0.00000352,0.382,0.566,127.995,4
spotify:track:3uPvLoVTX6lHmGCIr7SU8s,"THE BREACH","HORIZONS","STARSET",2021-10-22,260010,49,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-21T12:23:24Z,"","Fearless Records",0.528,0.845,10,-5.056,0,0.0399,0.0000629,0.0000516,0.305,0.336,106.04,4
spotify:track:2KGCOtaTbNIbwrxS0a2UMv,"Choke","Cannibal","Bury Tomorrow",2020-07-03,227440,59,false,21rrrptu6n3eywblqb6xp5xuy,2023-04-26T08:07:37Z,"metalcore,metal,deathcore,post-hardcore","Music For Nations",0.503,0.981,1,-5.701,1,0.0936,0.000682,0.0000906,0.194,0.34,124.91,4
spotify:track:2Sn7NPDJFUhUlZQfGMoo9E,"Plenty","Obsidian","Northlane",2022-04-22,220626,45,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-08T16:09:34Z,"djent,metalcore,progressive metal,metal,deathcore,post-hardcore","Worldeater Records",0.536,0.952,8,-4.065,1,0.0353,0.0000644,0.036,0.0514,0.154,127,4
spotify:track:7khQrdng5Zj4bkpS7sQr17,"Of Mind - Nocturne","Altered State","TesseracT",2013-05-28,350306,42,false,21rrrptu6n3eywblqb6xp5xuy,2021-02-13T17:35:43Z,"djent,progressive metal,metal,progressive rock","Century Media",0.573,0.923,11,-5.509,0,0.0634,0.000267,0.000259,0.051,0.445,130.005,3
spotify:track:4E6wpXABj8XosZEPXZz2OK,"Bleed","ObZen","Meshuggah",2008-03-07,442733,40,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-09T20:00:57Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Atomic Fire Records",0.242,0.998,11,-5.64,1,0.0894,0.00000812,0.88,0.284,0.18,114.642,4
spotify:track:0SIKrp2SkPmflfKtCNkZXX,"Chasing Shadows","Heaven in Hiding","Imminence",2021-11-26,246284,50,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-09T02:00:53Z,"metalcore,metal,deathcore,post-hardcore","Arising Empire",0.443,0.875,4,-4.432,0,0.0556,0.000883,0.0000887,0.138,0.175,112.022,4
spotify:track:38JT1SmtGliG9FGVwrTsTk,"Distance","Severance","Heart Of A Coward",2013-11-12,238546,27,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-09T02:19:24Z,"djent,metalcore,deathcore,metal,progressive metal","Century Media",0.472,0.994,5,-1.903,1,0.177,0.0000566,0.00000277,0.358,0.159,125.001,4
spotify:track:3IC74qNKqXdeydqyS1J5z5,"Deadnest","Deadnest","Monuments",2021-03-26,207391,35,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-09T10:20:29Z,"djent,progressive metal,metalcore,metal","Century Media",0.445,0.968,6,-2.563,1,0.207,0.0000129,0.00000999,0.338,0.326,114.92,4
spotify:track:6gJ0ydZombiOIs4NaxnFXR,"Eternal Blue","Eternal Blue","Spiritbox",2021-09-17,239706,0,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-09T10:04:29Z,"metalcore,djent,metal","Rise Records",0.256,0.92,6,-4.914,0,0.0751,0.000331,0.000352,0.457,0.289,124.707,4
spotify:track:5jmYu7XY4zd3mJfizA8t1K,"Let Me Be Sad","TRAUMA","I Prevail",2019-03-29,214226,62,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-09T02:01:12Z,"metalcore","Fearless Records",0.478,0.574,3,-5.645,0,0.0288,0.000355,0.00000715,0.151,0.0407,129.02,4
spotify:track:4SwArKsYS1uHsBtNSFvi8U,"Heaven in Hiding","Heaven in Hiding","Imminence",2021-11-26,236077,47,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-09T02:00:59Z,"metalcore,metal,deathcore,post-hardcore","Arising Empire",0.455,0.651,3,-5.785,0,0.0422,0.012,0.00000281,0.344,0.275,111.955,4
spotify:track:2p2lECQV64LbQQ0wzx8aQk,"Echo Chamber","Obsidian","Northlane",2022-04-22,227893,43,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-09T09:56:35Z,"djent,metalcore,progressive metal,metal,deathcore,post-hardcore","Worldeater Records",0.445,0.949,6,-5.166,1,0.0678,0.0000097,0.0248,0.28,0.661,136.022,4
spotify:track:5qXJHma2VSBAj8aJMmMei4,"Cardinal Red (feat. Mick Gordon)","In Stasis","Monuments,Mick Gordon",2022-04-15,281506,41,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-09T10:09:15Z,"djent,progressive metal,metalcore,metal","Century Media",0.45,0.987,7,-5.801,1,0.149,0.0000746,0.00000289,0.183,0.183,140.029,4
spotify:track:0nrCDNrt8fm5XJzu1FHudO,"Doublespeak","False Idol","Veil Of Maya",2017-10-20,252906,0,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-09T10:09:29Z,"djent,deathcore,metalcore,progressive metal,metal","Sumerian Records",0.417,0.979,7,-4.074,1,0.101,0.000154,0.0000812,0.166,0.179,143.956,4
spotify:track:0WXMsAafxDxQDRJP3UOUw8,"Tyed","Tyed","Olly Steele,Andy Cizek,Casey Sabol,Pierre Danel",2023-05-12,191142,27,false,21rrrptu6n3eywblqb6xp5xuy,2023-05-13T20:32:34Z,"djent,progressive metal,metalcore,deathcore,finnish rock","Olly Steele",0.458,0.975,1,-4.581,1,0.217,0.00000765,0.00000904,0.155,0.345,104.977,4
spotify:track:3TU8zJ81VLDQF6tz2Jkvyd,"Balance","Balance","Olly Steele",2019-04-19,269581,45,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-09T10:09:36Z,"djent,progressive metal","Olly Steele",0.467,0.982,7,-3.578,0,0.078,0.0000181,0.706,0.172,0.22,107.521,4
spotify:track:3A7CTleCV7UOwX84rEMu0M,"Open","Open","Olly Steele",2021-02-12,193058,48,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-09T10:11:40Z,"djent,progressive metal","Olly Steele",0.49,0.967,2,-3.378,1,0.0558,0.0000877,0.796,0.0583,0.373,84.998,4
spotify:track:7mCT4WQa1SJNvTnQ59cmE0,"Lucid","The Mortal Coil","Polaris",2017-11-03,239852,56,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-09T10:09:43Z,"metalcore,djent,metal,deathcore,post-hardcore","SHARPTONE",0.49,0.991,10,-3.917,0,0.149,0.0000494,0.000115,0.316,0.141,101.976,4
spotify:track:5uibZRXH64gVwWNqZiObB7,"Void","Void","Haunted Shores",2022-03-11,335173,12,false,21rrrptu6n3eywblqb6xp5xuy,2022-08-09T19:59:53Z,"djent,progressive metal","3DOT Recordings",0.361,0.594,6,-8.532,0,0.0283,0.00913,0.895,0.0988,0.124,89.97,4
